                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0526,                  2.145,                 1.1526,                 0.1642,                0.17647,                0.12027,                0.07622,                 1.5365,                 6.0061,                 1.9522,                  0.082,                  0.002,                  0.002
                      2,                 1.0543,                 1.2198,                 1.1588,                0.02288,                0.41176,                0.02062,                0.00522,                 2.8857,                 157.17,                 13.952,                0.06309,              0.0040899,              0.0040899
                      3,                 1.0467,                 1.0661,                 1.1698,                0.00312,                0.29412,                 0.0035,                 0.0004,                 3.1151,                    inf,                 18.271,               0.044169,              0.0061693,              0.0061693
                      4,                  1.031,                0.94387,                 1.1543,                0.00269,                0.47059,                0.00194,                0.00088,                 2.8595,                  593.3,                 5.1641,               0.025238,              0.0082384,              0.0082384
                      5,                0.97941,                0.83256,                 1.1319,                0.00269,                0.47059,                0.00194,                0.00088,                 2.7169,                 14.251,                 3.9832,               0.009901,               0.009901,               0.009901
                      6,                0.98035,                0.80244,                 1.1062,                0.50164,                0.64706,                0.50718,                0.29639,                 1.3322,                 3.0945,                 1.5918,               0.009901,               0.009901,               0.009901
                      7,                0.93329,                0.78015,                 1.0929,                0.69172,                0.88235,                 0.8354,                0.62562,                  1.119,                 6.0016,                 1.3078,              0.0098763,              0.0098763,              0.0098763
                      8,                0.95402,                0.75732,                 1.0905,                0.92821,                0.76085,                 0.8702,                0.66913,                 1.0743,                 11.611,                 1.3145,              0.0098515,              0.0098515,              0.0098515
                      9,                0.94647,                0.79524,                 1.1127,                0.04771,                0.88235,                0.12038,                0.09177,                0.99557,                 11.514,                 1.2325,              0.0098268,              0.0098268,              0.0098268
                     10,                0.86918,                0.69597,                 1.0625,                      1,                0.70084,                0.89715,                0.69396,                0.86748,                 1.4707,                 1.1477,               0.009802,               0.009802,               0.009802
                     11,                 0.8667,                0.67793,                  1.064,                0.99677,                0.76471,                0.87946,                 0.7151,                 0.7692,                 1.1666,                 1.0885,              0.0097773,              0.0097773,              0.0097773
                     12,                0.89567,                0.68054,                 1.0876,                0.73148,                      1,                0.93115,                0.74086,                0.75952,                0.94224,                0.99072,              0.0097525,              0.0097525,              0.0097525
                     13,                0.91461,                0.66483,                 1.0734,                 0.9302,                0.94118,                0.98011,                0.79827,                0.77644,                0.93638,                0.98065,              0.0097278,              0.0097278,              0.0097278
                     14,                0.85465,                 0.6353,                  1.072,                0.98961,                0.94118,                0.95681,                   0.81,                0.70269,                 0.6707,                0.96338,               0.009703,               0.009703,               0.009703
                     15,                0.81872,                0.60724,                 1.0326,                0.98512,                0.94118,                0.95941,                0.79773,                0.69496,                0.72072,                0.97441,              0.0096783,              0.0096783,              0.0096783
                     16,                0.81937,                0.59498,                 1.0457,                      1,                0.99913,                  0.995,                0.85015,                0.69013,                0.58691,                0.96604,              0.0096535,              0.0096535,              0.0096535
                     17,                0.80118,                0.57619,                 1.0216,                0.99248,                0.94118,                0.99222,                0.83463,                0.71799,                0.58997,                 0.9581,              0.0096288,              0.0096288,              0.0096288
                     18,                0.77311,                0.58223,                 1.0217,                0.99985,                      1,                  0.995,                0.81921,                0.66493,                 0.6613,                 0.9168,               0.009604,               0.009604,               0.009604
                     19,                0.76289,                0.56311,                 1.0073,                      1,                0.97898,                  0.995,                0.86009,                0.65355,                0.62218,                0.93892,              0.0095793,              0.0095793,              0.0095793
                     20,                0.77417,                0.55585,                 1.0209,                      1,                0.99262,                  0.995,                0.84506,                0.70772,                0.51569,                0.96439,              0.0095545,              0.0095545,              0.0095545
                     21,                 0.7665,                0.55042,                0.99468,                0.99396,                      1,                  0.995,                 0.8031,                0.67702,                0.49671,                0.97276,              0.0095298,              0.0095298,              0.0095298
                     22,                0.74761,                0.53492,                 1.0061,                0.97841,                      1,                  0.995,                0.83292,                0.71707,                0.50127,                0.97392,               0.009505,               0.009505,               0.009505
                     23,                0.76272,                0.54508,                 1.0119,                0.97511,                0.94118,                0.99222,                0.79635,                0.74593,                0.53733,                0.97613,              0.0094803,              0.0094803,              0.0094803
                     24,                0.76715,                0.54658,                  1.013,                0.98939,                0.94118,                 0.9875,                0.77847,                0.76942,                0.53344,                 1.0287,              0.0094555,              0.0094555,              0.0094555
                     25,                0.73153,                0.51382,                 1.0028,                      1,                0.98888,                  0.995,                0.81603,                0.75691,                0.55978,                0.96882,              0.0094307,              0.0094307,              0.0094307
                     26,                0.71344,                0.50465,                0.99415,                      1,                0.99675,                  0.995,                0.86053,                 0.6049,                0.48113,                0.92154,               0.009406,               0.009406,               0.009406
                     27,                0.73307,                0.52906,                 1.0017,                0.99571,                      1,                  0.995,                0.82898,                0.65799,                0.48933,                0.93963,              0.0093813,              0.0093813,              0.0093813
                     28,                0.75148,                 0.5587,                 1.0284,                0.98865,                      1,                  0.995,                0.84523,                0.63583,                0.44211,                0.92657,              0.0093565,              0.0093565,              0.0093565
                     29,                0.76867,                0.53588,                 1.0204,                0.99426,                0.94118,                0.96271,                0.81992,                0.80134,                0.51503,                 1.0144,              0.0093317,              0.0093317,              0.0093317
                     30,                 0.7405,                0.52349,                 1.0063,                      1,                0.99629,                  0.995,                0.81962,                0.67906,                0.45497,                0.94119,               0.009307,               0.009307,               0.009307
                     31,                0.69455,                0.50525,                0.99577,                      1,                0.99871,                  0.995,                0.85714,                0.65917,                0.43831,                0.91883,              0.0092823,              0.0092823,              0.0092823
                     32,                0.67993,                 0.5046,                0.98169,                0.99496,                      1,                  0.995,                0.83534,                0.67689,                0.48424,                0.91748,              0.0092575,              0.0092575,              0.0092575
                     33,                0.69886,                0.49216,                0.99228,                      1,                0.99392,                  0.995,                0.85643,                0.67423,                0.45437,                0.92959,              0.0092327,              0.0092327,              0.0092327
                     34,                0.64763,                0.48385,                0.96809,                0.99313,                      1,                  0.995,                0.76095,                0.83629,                0.46846,                 1.0124,               0.009208,               0.009208,               0.009208
                     35,                0.70367,                0.51197,                0.99688,                0.93794,                0.94118,                0.93298,                0.79166,                0.79908,                0.46668,                 1.0109,              0.0091833,              0.0091833,              0.0091833
                     36,                0.70422,                0.50336,                0.98123,                0.95058,                0.94118,                0.94719,                 0.7665,                0.75305,                0.44753,                 0.9899,              0.0091585,              0.0091585,              0.0091585
                     37,                0.66251,                0.48302,                0.96486,                 0.9385,                0.94118,                0.98011,                0.83114,                0.68105,                 0.4455,                0.96311,              0.0091337,              0.0091337,              0.0091337
                     38,                 0.6824,                0.48871,                0.98856,                0.98295,                0.94118,                 0.9875,                0.81571,                 0.6678,                0.50264,                0.92731,               0.009109,               0.009109,               0.009109
                     39,                0.66039,                0.46843,                0.98398,                0.93761,                      1,                0.99222,                0.83997,                0.70067,                0.41161,                0.94068,              0.0090843,              0.0090843,              0.0090843
                     40,                0.65529,                0.45774,                0.97297,                0.99802,                      1,                  0.995,                 0.8402,                0.67342,                0.40041,                0.91957,              0.0090595,              0.0090595,              0.0090595
                     41,                0.64797,                0.43957,                0.96117,                0.99284,                      1,                  0.995,                 0.8225,                0.74706,                0.45593,                0.94245,              0.0090347,              0.0090347,              0.0090347
                     42,                0.64676,                0.45156,                0.96018,                 0.9974,                      1,                  0.995,                0.83513,                0.63302,                0.38851,                0.91329,                0.00901,                0.00901,                0.00901
                     43,                0.63926,                0.44878,                0.94918,                0.99649,                      1,                  0.995,                0.84346,                0.69586,                0.41837,                0.93608,              0.0089853,              0.0089853,              0.0089853
                     44,                0.68836,                0.46514,                0.97962,                0.99382,                      1,                  0.995,                0.84387,                0.64477,                0.45399,                0.92772,              0.0089605,              0.0089605,              0.0089605
                     45,                0.63975,                 0.4377,                0.94079,                 0.9765,                      1,                  0.995,                0.83151,                0.65741,                0.39466,                0.93901,              0.0089358,              0.0089358,              0.0089358
                     46,                0.70311,                 0.4784,                 1.0036,                0.99698,                      1,                  0.995,                0.85869,                0.61178,                0.38534,                0.91218,               0.008911,               0.008911,               0.008911
                     47,                0.66832,                0.44891,                0.96842,                0.94119,                      1,                  0.995,                0.82407,                0.61741,                0.37351,                0.91316,              0.0088863,              0.0088863,              0.0088863
                     48,                0.66988,                 0.4452,                0.98222,                0.98214,                      1,                  0.995,                0.81301,                 0.6967,                0.41791,                0.95308,              0.0088615,              0.0088615,              0.0088615
                     49,                0.64196,                0.44087,                0.96588,                0.99649,                      1,                  0.995,                0.83241,                0.69477,                0.39848,                0.96835,              0.0088368,              0.0088368,              0.0088368
                     50,                0.67363,                0.45789,                0.98889,                0.99742,                      1,                  0.995,                0.85077,                0.69962,                 0.3821,                0.93145,               0.008812,               0.008812,               0.008812
                     51,                0.65013,                0.44329,                0.95974,                0.99913,                      1,                  0.995,                0.87365,                0.60831,                0.37435,                0.90409,              0.0087872,              0.0087872,              0.0087872
                     52,                0.63133,                 0.4396,                0.97068,                      1,                0.99927,                  0.995,                0.88736,                0.60856,                0.39107,                0.90251,              0.0087625,              0.0087625,              0.0087625
                     53,                0.63445,                 0.4379,                0.96944,                0.99228,                0.94118,                0.99222,                0.88597,                0.56237,                0.36795,                0.89812,              0.0087378,              0.0087378,              0.0087378
                     54,                0.63523,                0.44675,                0.95634,                      1,                0.99835,                  0.995,                 0.8538,                0.63484,                0.37987,                0.92387,               0.008713,               0.008713,               0.008713
                     55,                0.62731,                0.43081,                0.95445,                0.99675,                      1,                  0.995,                 0.8619,                0.57317,                0.35917,                0.90279,              0.0086882,              0.0086882,              0.0086882
                     56,                0.62678,                0.43262,                0.96006,                      1,                0.99743,                  0.995,                0.88316,                0.58926,                 0.3748,                0.90278,              0.0086635,              0.0086635,              0.0086635
                     57,                0.60813,                0.42635,                0.97011,                      1,                0.99962,                  0.995,                 0.8786,                0.64325,                0.36245,                0.90596,              0.0086388,              0.0086388,              0.0086388
                     58,                0.60678,                0.41938,                0.95717,                0.99677,                      1,                  0.995,                0.87048,                0.60471,                0.35936,                0.90631,               0.008614,               0.008614,               0.008614
                     59,                0.64478,                0.44108,                0.96463,                 0.9859,                      1,                  0.995,                0.82366,                0.72349,                0.39056,                0.93897,              0.0085893,              0.0085893,              0.0085893
                     60,                0.62389,                0.42822,                0.95518,                0.99595,                      1,                  0.995,                0.84264,                0.67613,                0.36497,                0.94354,              0.0085645,              0.0085645,              0.0085645
                     61,                0.61818,                0.41541,                0.96057,                0.99294,                0.94118,                0.95075,                0.81539,                0.72299,                0.39786,                0.94616,              0.0085398,              0.0085398,              0.0085398
                     62,                0.59783,                0.40983,                0.96728,                0.99682,                      1,                  0.995,                 0.8261,                0.70014,                0.38615,                0.97218,               0.008515,               0.008515,               0.008515
                     63,                0.61036,                0.42559,                0.95998,                0.97926,                0.94118,                0.98974,                0.83653,                0.74908,                0.38204,                 1.0162,              0.0084903,              0.0084903,              0.0084903
                     64,                0.61296,                0.41531,                 0.9557,                      1,                0.99392,                  0.995,                 0.8797,                0.53458,                0.36252,                0.87841,              0.0084655,              0.0084655,              0.0084655
                     65,                0.62414,                0.42402,                0.95214,                0.99959,                      1,                  0.995,                0.83676,                0.65446,                0.35597,                0.92502,              0.0084408,              0.0084408,              0.0084408
                     66,                0.61593,                0.42099,                0.95543,                0.99837,                      1,                  0.995,                0.86747,                0.60607,                0.35082,                0.89602,               0.008416,               0.008416,               0.008416
                     67,                0.61257,                0.42402,                0.95712,                0.99048,                0.94118,                0.95109,                0.82982,                0.73001,                0.36491,                 0.9923,              0.0083913,              0.0083913,              0.0083913
                     68,                 0.5795,                0.40623,                0.94044,                0.99917,                      1,                  0.995,                0.85693,                0.55278,                0.36788,                0.87842,              0.0083665,              0.0083665,              0.0083665
                     69,                0.61361,                0.43217,                0.96188,                0.93707,                0.94118,                0.93811,                0.81736,                0.70449,                0.36866,                 1.0126,              0.0083418,              0.0083418,              0.0083418
                     70,                0.59377,                0.41226,                 0.9563,                0.99679,                      1,                  0.995,                0.84744,                0.68249,                0.34186,                0.96237,               0.008317,               0.008317,               0.008317
                     71,                0.57842,                0.40219,                0.93874,                 0.9592,                0.94118,                0.95546,                0.85225,                0.66358,                 0.3609,                0.93527,              0.0082922,              0.0082922,              0.0082922
                     72,                0.62671,                0.41614,                0.96568,                0.97642,                0.94118,                0.96132,                0.84396,                0.64541,                 0.3598,                0.93093,              0.0082675,              0.0082675,              0.0082675
                     73,                0.61094,                0.41733,                0.96479,                0.93793,                0.94118,                0.98621,                0.81091,                0.78907,                0.35378,                 1.0284,              0.0082428,              0.0082428,              0.0082428
                     74,                0.56236,                0.39559,                0.93286,                0.94424,                0.99638,                0.99222,                0.87437,                0.65589,                0.38654,                0.93767,               0.008218,               0.008218,               0.008218
                     75,                0.59555,                0.39865,                0.94537,                0.99101,                0.94118,                 0.9535,                0.81942,                 0.7364,                 0.3601,                0.99792,              0.0081932,              0.0081932,              0.0081932
                     76,                0.59624,                0.40526,                0.94346,                      1,                0.99787,                  0.995,                0.84039,                 0.6618,                0.35202,                0.92449,              0.0081685,              0.0081685,              0.0081685
                     77,                0.58794,                0.39721,                0.93622,                0.99934,                      1,                  0.995,                0.87247,                0.59678,                0.32626,                0.89217,              0.0081437,              0.0081437,              0.0081437
                     78,                0.57059,                 0.3956,                0.92935,                0.99696,                      1,                  0.995,                0.85243,                0.63516,                0.34798,                 0.9359,               0.008119,               0.008119,               0.008119
                     79,                0.55134,                0.37409,                 0.9257,                0.99646,                      1,                  0.995,                0.87522,                0.55684,                0.34214,                0.88166,              0.0080942,              0.0080942,              0.0080942
                     80,                0.58831,                0.39728,                0.93766,                      1,                0.99604,                  0.995,                0.87256,                0.54267,                0.34797,                0.88037,              0.0080695,              0.0080695,              0.0080695
                     81,                0.57675,                0.38757,                0.94116,                      1,                0.99646,                  0.995,                 0.8596,                0.55343,                0.31995,                0.88643,              0.0080447,              0.0080447,              0.0080447
                     82,                0.54357,                0.37729,                 0.9142,                      1,                0.99615,                  0.995,                0.86776,                0.61718,                0.38036,                0.92296,                0.00802,                0.00802,                0.00802
                     83,                0.54091,                0.37724,                0.92321,                0.99826,                      1,                  0.995,                0.84271,                0.65498,                0.39158,                 0.9607,              0.0079953,              0.0079953,              0.0079953
                     84,                 0.5355,                0.38253,                0.93322,                0.99373,                0.94118,                0.99222,                0.84377,                0.66525,                0.39173,                0.92018,              0.0079705,              0.0079705,              0.0079705
                     85,                0.53688,                0.37027,                0.92438,                 0.9388,                      1,                0.99222,                0.87235,                0.57564,                 0.3355,                0.88967,              0.0079457,              0.0079457,              0.0079457
                     86,                0.52639,                0.38052,                0.92406,                      1,                0.99862,                  0.995,                0.88257,                0.57951,                 0.3345,                  0.884,               0.007921,               0.007921,               0.007921
                     87,                0.57187,                0.39113,                0.93604,                0.99607,                      1,                  0.995,                0.87099,                0.56236,                0.32409,                0.89143,              0.0078963,              0.0078963,              0.0078963
                     88,                0.55201,                0.37943,                0.92771,                      1,                0.98064,                  0.995,                0.85041,                 0.6076,                0.34988,                0.90252,              0.0078715,              0.0078715,              0.0078715
                     89,                0.57768,                0.39757,                0.94182,                0.99687,                      1,                  0.995,                0.85104,                 0.6384,                0.34315,                0.91943,              0.0078467,              0.0078467,              0.0078467
                     90,                0.53522,                0.37724,                0.92064,                      1,                 0.9972,                  0.995,                0.87403,                0.56332,                0.34211,                 0.8762,               0.007822,               0.007822,               0.007822
                     91,                0.53018,                0.36435,                   0.92,                 0.9963,                      1,                  0.995,                0.87942,                0.57024,                 0.3159,                0.87597,              0.0077973,              0.0077973,              0.0077973
                     92,                0.53763,                0.37393,                0.92598,                0.99671,                      1,                  0.995,                0.86557,                0.62004,                0.34615,                0.90457,              0.0077725,              0.0077725,              0.0077725
                     93,                0.53098,                0.37463,                0.93155,                0.99663,                      1,                  0.995,                0.86973,                0.61834,                 0.3263,                0.91114,              0.0077478,              0.0077478,              0.0077478
                     94,                0.52545,                0.35131,                0.92015,                0.95184,                      1,                  0.995,                0.85469,                0.58042,                0.32026,                 0.8941,               0.007723,               0.007723,               0.007723
                     95,                0.52825,                0.37475,                0.92056,                0.99771,                      1,                  0.995,                0.85636,                0.61825,                0.32786,                0.90812,              0.0076983,              0.0076983,              0.0076983
                     96,                0.55433,                0.38282,                0.92216,                      1,                0.99824,                  0.995,                0.85488,                0.57868,                0.32159,                0.89634,              0.0076735,              0.0076735,              0.0076735
                     97,                0.52597,                0.37087,                 0.9197,                      1,                0.99859,                  0.995,                0.86215,                0.61132,                0.35328,                0.90478,              0.0076488,              0.0076488,              0.0076488
                     98,                0.52118,                 0.3688,                0.92473,                      1,                0.98086,                  0.995,                 0.8736,                0.60877,                0.35625,                0.89433,               0.007624,               0.007624,               0.007624
                     99,                0.53773,                 0.3802,                0.93868,                0.99913,                      1,                  0.995,                0.87351,                0.59974,                0.32595,                0.89533,              0.0075993,              0.0075993,              0.0075993
                    100,                0.52581,                0.35238,                0.92003,                      1,                0.98322,                  0.995,                0.87145,                0.56213,                0.32779,                0.88973,              0.0075745,              0.0075745,              0.0075745
                    101,                0.50846,                0.34069,                0.92149,                0.99188,                      1,                  0.995,                 0.8682,                0.58089,                0.32065,                0.89707,              0.0075498,              0.0075498,              0.0075498
                    102,                0.51219,                0.35021,                0.91849,                0.99316,                      1,                  0.995,                0.85337,                0.68337,                0.35928,                0.93953,               0.007525,               0.007525,               0.007525
